text,options,answer,difficulty,type
"What is the capital of France?","Paris,London,Berlin,Madrid",Paris,0.3,mcq
"What is the result of 5 * 7?","30,35,40,45",35,0.2,mcq
"What is the largest planet in our solar system?","Earth,Jupiter,Saturn,Mars",Jupiter,0.5,mcq
"What is the formula for water?","H2O,CO2,NaCl,O2",H2O,0.1,mcq
"What is the square root of 81?","7,8,9,10",9,0.4,mcq
"Which programming language is FastAPI written in?","Python,JavaScript,Java,C++",Python,0.6,mcq
"What is the primary key in a relational database?","A unique identifier for each row,A foreign key,A composite key,A lookup key","A unique identifier for each row",0.7,mcq
"Who developed the theory of relativity?","Isaac Newton,Galileo Galilei,Albert Einstein,Nikola Tesla",Albert Einstein,0.6,mcq
"What is the process by which plants make their own food?","Respiration,Transpiration,Photosynthesis,Fermentation",Photosynthesis,0.6,mcq
"What is the name of the longest river in the world?","Nile River,Amazon River,Yangtze River,Mississippi River",Nile River,0.7,mcq
"Which element has the atomic number 1?","Helium,Hydrogen,Carbon,Oxygen",Hydrogen,0.6,mcq
"What is the name of the pharaoh who built the Great Pyramid of Giza?","Ramses II,Tutankhamun,Khufu,Akhenaten",Khufu,0.8,mcq
"What is the capital of Japan?","Seoul,Tokyo,Beijing,Bangkok",Tokyo,0.5,mcq
"What is the chemical symbol for gold?","Au,Ag,Fe,Cu",Au,0.4,mcq
"Who wrote the play 'Romeo and Juliet'?","Charles Dickens,William Shakespeare,Mark Twain,Jane Austen",William Shakespeare,0.6,mcq
"What is the smallest country in the world?","Monaco,Vatican City,Nauru,Tuvalu",Vatican City,0.8,mcq
"What is the capital of Spain?","Lisbon,Madrid,Rome,Paris",Madrid,0.5,mcq
"What is the chemical symbol for sodium?","Na,So,Sd,Ni",Na,0.4,mcq
"What is the name of the first man on the moon?","Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Alan Shepard",Neil Armstrong,0.7,mcq
"What is the largest ocean in the world?","Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean",Pacific Ocean,0.6,mcq
"What is the name of the author of 'To Kill a Mockingbird'?","Harper Lee,J.K. Rowling,Stephen King,George Orwell",Harper Lee,0.7,mcq
"What is the chemical symbol for iron?","Ir,In,Fe,Au",Fe,0.3,mcq
